variable,lag,pearson
lambda_min,-54,-0.0073220953278989006
lambda_min,-53,-0.009916665657568404
lambda_min,-52,-0.0052721647459049404
lambda_min,-51,-0.0020761543721880744
lambda_min,-50,-0.008728998453483681
lambda_min,-49,-0.00269658737765437
lambda_min,-48,-0.003217464067276843
lambda_min,-47,-0.004102417979824615
lambda_min,-46,-0.0034890509330011733
lambda_min,-45,0.002263779577399393
lambda_min,-44,0.005659920898627642
lambda_min,-43,0.012385293555976843
lambda_min,-42,0.014873720537946838
lambda_min,-41,0.0108354241825444
lambda_min,-40,0.009496314021705518
lambda_min,-39,0.009564028848327953
lambda_min,-38,0.01467057939791728
lambda_min,-37,0.010448834188495805
lambda_min,-36,0.005820093200357003
lambda_min,-35,0.0063265910493479635
lambda_min,-34,0.004084312737935641
lambda_min,-33,-0.004937190616299029
lambda_min,-32,-0.012490701419398242
lambda_min,-31,-0.015471052479325275
lambda_min,-30,-0.019150636301856466
lambda_min,-29,-0.015064653700050945
lambda_min,-28,-0.013772948404445439
